tailid;url;language
20504;http://www.akademika.no;nb
20505;http://www.brreg.no;nb
20505;http://www.brreg.no/english/;en
20507;http://www.npe.no/;nb
20511;http://www.nasjonalforeningen.no/;nb
20513;http://www.sintef.no/Home/;en
20513;http://www.sintef.no/byggforsk/;nb
20518;http://www.stoyforeningen.no/;nb
20521;http://www.vegvesen.no/;nb
20521;http://www.vegvesen.no/en/Home;en
20524;http://www.regjeringen.no/en/dep/fd.html?id=380;en
20524;http://www.regjeringen.no/nb/dep/fd.html?id=380;nb
20525;http://www.garantikassen.no/;nb
20528;http://www.regjeringen.no/en/dep/kd.html?id=586;en
20528;http://www.regjeringen.no/nb/dep/kd.html?id=586;nb
20530;http://www.regjeringen.no/en/dep/kud.html?id=545;en
20530;http://www.regjeringen.no/nb/dep/kkd.html?id=545;nb
20531;http://www.akan.no/;nb
20531;http://www.akan.no/publisher/publisher.asp?id=82;en
20534;http://www.barneombudet.no/;nb
20534;http://www.barneombudet.no/english/;en
20535;http://www.regjeringen.no/en/dep/krd.html?id=504;en
20535;http://www.regjeringen.no/nb/dep/krd.html?id=504;nb
20536;http://www.regjeringen.no/en/dep/fin.html?id=216;en
20536;http://www.regjeringen.no/nb/dep/fin.html?id=216;nb
20537;http://www.regjeringen.no/en/dep/lmd.html?id=627;en
20537;http://www.regjeringen.no/nb/dep/lmd.html?id=627;nb
20605;http://www.bufetat.no/engelsk/;en
20605;http://www.bufetat.no/familievernkontor/harstad/;nb
20606;http://www.bufetat.no/engelsk/;en
20606;http://www.bufetat.no/familievernkontor/tromso/;nb
20607;http://www.bufetat.no/engelsk/;en
20607;http://www.bufetat.no/familievernkontor/alta/;nb
20608;http://www.bufetat.no/engelsk/;en
20608;http://www.bufetat.no/familievernkontor/hammerfest/;nb
20609;http://www.bufetat.no/engelsk/;en
20609;http://www.bufetat.no/familievernkontor/indre-finnmark/;nb
20610;http://www.bufetat.no/engelsk/;en
20610;http://www.bufetat.no/familievernkontor/ost-finnmark/;nb
20632;http://www.bufetat.no/engelsk/;en
20632;http://www.bufetat.no/familievernkontor/kristiansund/;nb
20633;http://www.bufetat.no/engelsk/;en
20633;http://www.bufetat.no/familievernkontor/sor-trondelag/;nb
20634;http://www.bufetat.no/engelsk/;en
20634;http://www.bufetat.no/familievernkontor/levanger/;nb
20636;http://www.bufetat.no/engelsk/;en
20636;http://www.bufetat.no/familievernkontor/namsos/;nb
20650;http://www.bufetat.no/engelsk/;en
20650;http://www.bufetat.no/familievernkontor/mo-i-rana/;nb
20653;http://www.bufetat.no/engelsk/;en
20653;http://www.bufetat.no/familievernkontor/mosjoen/;nb
20658;http://www.bufetat.no/engelsk/;en
20658;http://www.bufetat.no/familievernkontor/bodo/;nb
20663;http://www.bufetat.no/engelsk/;en
20663;http://www.bufetat.no/familievernkontor/molde/;nb
20664;http://www.bufetat.no/engelsk/;en
20664;http://www.bufetat.no/familievernkontor/narvik/;nb
20666;http://www.bufetat.no/engelsk/;en
20666;http://www.bufetat.no/familievernkontor/vesteraalen/;nb
20673;http://www.bufetat.no/engelsk/;en
20673;http://www.bufetat.no/familievernkontor/grenland/;nb
20675;http://www.bufetat.no/engelsk/;en
20675;http://www.bufetat.no/familievernkontor/ovre-telemark/;nb
20676;http://www.bufetat.no/engelsk/;en
20676;http://www.bufetat.no/familievernkontor/aust-agder/;nb
20677;http://www.bufetat.no/engelsk/;en
20677;http://www.bufetat.no/familievernkontor/vest-agder/;nb
20679;http://www.bufetat.no/engelsk/;en
20679;http://www.bufetat.no/familievernkontor/familievernkontoret-sor-rogaland-egersund/;nb
20680;http://www.bufetat.no/engelsk/;en
20680;http://www.fam-vern-stvg.no/;nb
20681;http://www.bufetat.no/engelsk/;en
20681;http://www.bufetat.no/familievernkontor/haugalandet/;nb
20682;http://www.bufetat.no/engelsk/;en
20682;http://www.bufetat.no/familievernkontor/bjorgvin/;nb
20683;http://www.bufetat.no/engelsk/;en
20683;http://www.bufetat.no/familievernkontor/biskopshavn/;nb
20684;http://www.bufetat.no/engelsk/;en
20684;http://www.bufetat.no/familievernkontor/straume/;nb
20685;http://www.bufetat.no/engelsk/;en
20685;http://www.bufetat.no/familievernkontor/fana/;nb
20686;http://www.bufetat.no/engelsk/;en
20686;http://www.bufetat.no/familievernkontor/odda/;nb
20700;http://www.bufetat.no/engelsk/;en
20700;http://www.bufetat.no/familievernkontor/forde/;nb
20701;http://www.bufetat.no/engelsk/;en
20701;http://www.bufetat.no/familievernkontor/sogndal/;nb
20702;http://www.bufetat.no/engelsk/;en
